公式対局ID,対局ID,年,ラウンド,区分No,シーズンネーム,日付,#,開始時刻,終了時刻,東家,南家,西家,北家,牌譜URL
L001_S001_0001_01A,1,2018,1,0,レギュラーシーズン,2018/10/01 (月),#1,19:15,20:46,小林 剛,魚谷 侑未,園田 賢,萩原 聖人,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0001_01A
L001_S001_0001_02A,2,2018,2,0,レギュラーシーズン,2018/10/01 (月),#2,21:20,22:18,萩原聖人,鈴木たろう,茅森早香,石橋伸洋,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0001_02A
L001_S001_0002_01A,3,2018,3,0,レギュラーシーズン,2018/10/02 (火),#1,19:15,20:09,佐々木 寿人,滝沢 和典,村上 淳,松本 吉弘,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0002_01A
L001_S001_0002_02A,4,2018,4,0,レギュラーシーズン,2018/10/02 (火),#2,20:44,21:49,勝又健志,多井隆晴,佐々木寿人,園田賢,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0002_02A
L001_S001_0003_01A,5,2018,5,0,レギュラーシーズン,2018/10/04 (木),#1,19:15,20:53,朝倉 康心,前原 雄大,二階堂 亜樹,白鳥 翔,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0003_01A
L001_S001_0003_02A,6,2018,6,0,レギュラーシーズン,2018/10/04 (木),#2,21:28,22:43,小林 剛,松本 吉弘,二階堂 亜樹,佐々木 寿人,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0003_02A
L001_S001_0004_01A,7,2018,7,0,レギュラーシーズン,2018/10/05 (金),#1,19:16,20:30,村上 淳,石橋 伸洋,高宮 まり,黒沢 咲,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0004_01A
L001_S001_0004_02A,8,2018,8,0,レギュラーシーズン,2018/10/05 (金),#2,20:58,21:48,高宮 まり,瀬戸熊 直樹,鈴木 たろう,朝倉 康心,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0004_02A
L001_S001_0005_01A,9,2018,9,0,レギュラーシーズン,2018/10/08 (月),#1,19:14,20:16,瀬戸熊 直樹,白鳥 翔,佐々木 寿人,小林 剛,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0005_01A
L001_S001_0005_02A,10,2018,10,0,レギュラーシーズン,2018/10/08 (月),#2,20:42,21:34,松本 吉弘,前原 雄大,小林 剛,萩原 聖人,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0005_02A
L001_S001_0006_01A,11,2018,11,0,レギュラーシーズン,2018/10/09 (火),#1,19:14,20:30,石橋 伸洋,前原 雄大,白鳥 翔,茅森 早香,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0006_01A
L001_S001_0006_02A,12,2018,12,0,レギュラーシーズン,2018/10/09 (火),#2,20:58,22:40,多井 隆晴,茅森 早香,佐々木 寿人,朝倉 康心,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0006_02A
L001_S001_0007_01A,13,2018,13,0,レギュラーシーズン,2018/10/11 (木),#1,19:16,20:25,村上 淳,勝又 健志,近藤 誠一,黒沢 咲,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0007_01A
L001_S001_0007_02A,14,2018,14,0,レギュラーシーズン,2018/10/11 (木),#2,20:54,22:31,鈴木 たろう,二階堂 亜樹,近藤 誠一,萩原 聖人,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0007_02A
L001_S001_0008_01A,15,2018,15,0,レギュラーシーズン,2018/10/12 (金),#1,19:16,20:33,前原 雄大,白鳥 翔,朝倉 康心,滝沢 和典,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0008_01A
L001_S001_0008_02A,16,2018,16,0,レギュラーシーズン,2018/10/12 (金),#2,20:59,22:30,松本 吉弘,滝沢 和典,小林 剛,前原 雄大,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0008_02A
L001_S001_0009_01A,17,2018,17,0,レギュラーシーズン,2018/10/15 (月),#1,19:16,20:41,村上 淳,前原 雄大,松本 吉弘,小林 剛,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0009_01A
L001_S001_0009_02A,18,2018,18,0,レギュラーシーズン,2018/10/15 (月),#2,21:09,22:56,白鳥 翔,石橋 伸洋,園田 賢,前原 雄大,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0009_02A
L001_S001_0010_01A,19,2018,19,0,レギュラーシーズン,2018/10/16 (火),#1,19:14,20:36,滝沢 和典,鈴木 たろう,多井 隆晴,瀬戸熊 直樹,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0010_01A
L001_S001_0010_02A,20,2018,20,0,レギュラーシーズン,2018/10/16 (火),#2,21:05,23:44,瀬戸熊 直樹,白鳥 翔,二階堂 亜樹,園田 賢,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0010_02A
L001_S001_0011_01A,21,2018,21,0,レギュラーシーズン,2018/10/18 (木),#1,19:15,20:29,近藤 誠一,朝倉 康心,萩原 聖人,高宮 まり,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0011_01A
L001_S001_0011_02A,22,2018,22,0,レギュラーシーズン,2018/10/18 (木),#2,21:00,22:07,佐々木寿人,小林剛,萩原聖人,魚谷侑未,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0011_02A
L001_S001_0012_01A,23,2018,23,0,レギュラーシーズン,2018/10/19 (金),#1,19:14,20:21,多井 隆晴,二階堂 亜樹,魚谷 侑未,村上 淳,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0012_01A
L001_S001_0012_02A,24,2018,24,0,レギュラーシーズン,2018/10/19 (金),#2,20:59,22:27,松本 吉弘,近藤 誠一,二階堂 亜樹,園田 賢,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0012_02A
L001_S001_0013_01A,25,2018,25,0,レギュラーシーズン,2018/10/22 (月),#1,19:15,20:31,黒沢 咲,二階堂 亜樹,魚谷 侑未,高宮 まり,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0013_01A
L001_S001_0013_02A,26,2018,26,0,レギュラーシーズン,2018/10/22 (月),#2,20:59,22:09,滝沢和典,瀬戸熊直樹,佐々木寿人,魚谷侑未,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0013_02A
L001_S001_0014_01A,27,2018,27,0,レギュラーシーズン,2018/10/23 (火),#1,19:15,20:27,勝又 健志,近藤 誠一,石橋 伸洋,瀬戸熊 直樹,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0014_01A
L001_S001_0014_02A,28,2018,28,0,レギュラーシーズン,2018/10/23 (火),#2,20:56,22:06,勝又健志,萩原聖人,朝倉康心,茅森早香,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0014_02A
L001_S001_0015_01A,29,2018,29,0,レギュラーシーズン,2018/10/25 (木),#1,19:15,20:39,鈴木 たろう,滝沢 和典,小林 剛,白鳥 翔,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0015_01A
L001_S001_0015_02A,30,2018,30,0,レギュラーシーズン,2018/10/25 (木),#2,21:09,22:54,多井 隆晴,勝又 健志,朝倉 康心,村上 淳,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0015_02A
L001_S001_0016_01A,31,2018,31,0,レギュラーシーズン,2018/10/26 (金),#1,19:18,20:14,魚谷 侑未,佐々木 寿人,松本 吉弘,村上 淳,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0016_01A
L001_S001_0016_02A,32,2018,32,0,レギュラーシーズン,2018/10/26 (金),#2,20:42,21:17,佐々木寿人,白鳥翔,魚谷侑未,園田賢,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0016_02A
L001_S001_0017_01A,33,2018,33,0,レギュラーシーズン,2018/10/29 (月),#1,19:16,20:20,村上 淳,石橋 伸洋,近藤 誠一,佐々木 寿人,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0017_01A
L001_S001_0017_02A,34,2018,34,0,レギュラーシーズン,2018/10/29 (月),#2,20:48,21:38,園田賢,近藤誠一,佐々木寿人,小林剛,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0017_02A
L001_S001_0018_01A,35,2018,35,0,レギュラーシーズン,2018/10/30 (火),#1,19:17,20:17,前原 雄大,多井 隆晴,黒沢 咲,茅森 早香,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0018_01A
L001_S001_0018_02A,36,2018,36,0,レギュラーシーズン,2018/10/30 (火),#2,20:45,22:14,萩原聖人,高宮まり,多井隆晴,茅森早香,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0018_02A
L001_S001_0019_01A,37,2018,37,0,レギュラーシーズン,2018/11/01 (木),#1,19:16,20:41,二階堂亜樹,萩原聖人,白鳥翔,前原雄大,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0019_01A
L001_S001_0019_02A,38,2018,38,0,レギュラーシーズン,2018/11/01 (木),#2,21:10,22:16,勝又 健志,松本 吉弘,瀬戸熊 直樹,前原 雄大,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0019_02A
L001_S001_0020_01A,39,2018,39,0,レギュラーシーズン,2018/11/02 (金),#1,19:16,20:11,二階堂亜樹,近藤誠一,石橋伸洋,村上淳,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0020_01A
L001_S001_0020_02A,40,2018,40,0,レギュラーシーズン,2018/11/02 (金),#2,20:37,21:58,園田 賢,勝又 健志,朝倉 康心,近藤 誠一,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0020_02A
L001_S001_0021_01A,41,2018,41,0,レギュラーシーズン,2018/11/05 (月),#1,19:15,20:27,石橋 伸洋,村上 淳,二階堂 亜樹,黒沢 咲,https://viewer.ml-log.jp/web/viewer?gameid=L001_S001_0021_01A
