リザルトID,対局ID,年,No,#,区分No,区分,席No,席,日付,選手ID,選手名,チームID,チーム名,持ち点,着順,スコア,チョンボ,総局数,流局数,和了数,放銃数,立直数,副露局数,流局聴牌局数
1,1,2018,1,1,0,レギュラーシーズン,0,東家,2018/10/01 (月),70001,小林剛,700,U-NEXT Pirates,38400,2,18.4,0,16,1,5,4,5,6,0
2,1,2018,1,1,0,レギュラーシーズン,1,南家,2018/10/01 (月),50001,魚谷侑未,500,セガサミーフェニックス,2000,4,-58.0,0,16,1,3,3,3,5,1
3,1,2018,1,1,0,レギュラーシーズン,2,西家,2018/10/01 (月),10001,園田賢,100,赤坂ドリブンズ,42900,1,62.9,0,16,1,5,0,2,6,1
4,1,2018,1,1,0,レギュラーシーズン,3,北家,2018/10/01 (月),60001,萩原聖人,600,TEAM RAIDEN / 雷電,16700,3,-23.3,0,16,1,2,1,2,0,0
5,2,2018,2,2,0,レギュラーシーズン,0,東家,2018/10/01 (月),60001,萩原聖人,600,TEAM RAIDEN / 雷電,11700,4,-48.3,0,10,2,1,2,2,0,1
6,2,2018,2,2,0,レギュラーシーズン,1,南家,2018/10/01 (月),10003,鈴木たろう,100,赤坂ドリブンズ,26300,2,6.3,0,10,2,2,2,1,3,1
7,2,2018,2,2,0,レギュラーシーズン,2,西家,2018/10/01 (月),50003,茅森早香,500,セガサミーフェニックス,18500,3,-21.5,0,10,2,1,1,1,2,0
8,2,2018,2,2,0,レギュラーシーズン,3,北家,2018/10/01 (月),70003,石橋伸洋,700,U-NEXT Pirates,43500,1,63.5,0,10,2,4,0,2,3,1
9,3,2018,3,1,0,レギュラーシーズン,0,東家,2018/10/02 (火),30001,佐々木寿人,300,KONAMI麻雀格闘倶楽部,27600,2,7.6,0,9,2,1,2,1,2,1
10,3,2018,3,1,0,レギュラーシーズン,1,南家,2018/10/02 (火),20002,滝沢和典,200,EX風林火山,15000,4,-45.0,0,9,2,1,0,1,2,0
11,3,2018,3,1,0,レギュラーシーズン,2,西家,2018/10/02 (火),10002,村上淳,100,赤坂ドリブンズ,30800,1,50.8,0,9,2,3,2,1,1,0
12,3,2018,3,1,0,レギュラーシーズン,3,北家,2018/10/02 (火),40003,松本吉弘,400,渋谷ABEMAS,26600,3,-13.4,0,9,2,2,0,3,1,1
13,4,2018,4,2,0,レギュラーシーズン,0,東家,2018/10/02 (火),20003,勝又健志,200,EX風林火山,24100,2,4.1,0,11,1,3,1,3,2,1
14,4,2018,4,2,0,レギュラーシーズン,1,南家,2018/10/02 (火),40001,多井隆晴,400,渋谷ABEMAS,55400,1,75.4,0,11,1,5,1,3,2,0
15,4,2018,4,2,0,レギュラーシーズン,2,西家,2018/10/02 (火),30001,佐々木寿人,300,KONAMI麻雀格闘倶楽部,18400,3,-21.6,0,11,1,2,1,3,2,0
16,4,2018,4,2,0,レギュラーシーズン,3,北家,2018/10/02 (火),10001,園田賢,100,赤坂ドリブンズ,2100,4,-57.9,0,11,1,0,2,2,4,1
17,5,2018,5,1,0,レギュラーシーズン,0,東家,2018/10/04 (木),70002,朝倉康心,700,U-NEXT Pirates,35200,2,15.2,0,14,3,3,1,4,1,1
18,5,2018,5,1,0,レギュラーシーズン,1,南家,2018/10/04 (木),30003,前原雄大,300,KONAMI麻雀格闘倶楽部,9100,4,-50.9,0,14,3,3,2,7,1,1
19,5,2018,5,1,0,レギュラーシーズン,2,西家,2018/10/04 (木),20001,二階堂亜樹,200,EX風林火山,11000,3,-29.0,0,14,3,1,1,5,1,1
20,5,2018,5,1,0,レギュラーシーズン,3,北家,2018/10/04 (木),40002,白鳥翔,400,渋谷ABEMAS,44700,1,64.7,0,14,3,4,0,1,4,0
21,6,2018,6,2,0,レギュラーシーズン,0,東家,2018/10/04 (木),70001,小林剛,700,U-NEXT Pirates,22600,3,-17.4,0,14,3,2,0,4,2,1
22,6,2018,6,2,0,レギュラーシーズン,1,南家,2018/10/04 (木),40003,松本吉弘,400,渋谷ABEMAS,60900,1,80.9,0,14,3,6,1,6,2,2
23,6,2018,6,2,0,レギュラーシーズン,2,西家,2018/10/04 (木),20001,二階堂亜樹,200,EX風林火山,30000,2,10.0,0,14,3,2,1,4,2,0
24,6,2018,6,2,0,レギュラーシーズン,3,北家,2018/10/04 (木),30001,佐々木寿人,300,KONAMI麻雀格闘倶楽部,-13500,4,-73.5,0,14,3,1,4,1,3,0
25,7,2018,7,1,0,レギュラーシーズン,0,東家,2018/10/05 (金),10002,村上淳,100,赤坂ドリブンズ,45000,1,65.0,0,11,2,3,0,1,3,0
26,7,2018,7,1,0,レギュラーシーズン,1,南家,2018/10/05 (金),70003,石橋伸洋,700,U-NEXT Pirates,-5700,4,-65.7,0,11,2,0,4,3,3,0
27,7,2018,7,1,0,レギュラーシーズン,2,西家,2018/10/05 (金),30002,高宮まり,300,KONAMI麻雀格闘倶楽部,34700,2,14.7,0,11,2,4,1,2,0,2
28,7,2018,7,1,0,レギュラーシーズン,3,北家,2018/10/05 (金),60003,黒沢咲,600,TEAM RAIDEN / 雷電,26000,3,-14.0,0,11,2,2,2,1,2,1
29,8,2018,8,2,0,レギュラーシーズン,0,東家,2018/10/05 (金),30002,高宮まり,300,KONAMI麻雀格闘倶楽部,14500,3,-25.5,0,10,0,3,1,1,2,0
